Allied_Nations,Diplomatic_Meetings_Set,Percent_Of_Forces_Mobilized,Hostile_Nations,Active_Threats,Inactive_Threats,Citizen_Fear_Index,Closest_Threat_Distance(km),Aircraft_Carriers_Responding,Troops_Mobilized(thousands),DEFCON_Level,ID
8,0,0.33,2,16,144,0.582966226138035,339.2,0,809600,b,4336
8,1,0.06,3,15,111,0.552863436123348,333.9,1,809600,b,11237
10,1,0.34,2,21,77,0.508810572687221,307.4,1,862400,b,11924
8,1,0.05,2,8,25,0.567547723935388,357.22,0,827200,a,4610
13,0,0.66,2,6,29,0.737885462555074,327.54,1,818400,b,6497
8,1,0.06,2,9,35,0.508810572687221,358.28,1,844800,c,10386
8,0,0.4,5,12,24,0.455947136563869,343.44,1,1056000,d,8523
9,0,0.52,2,18,25,0.479441997063142,364.64,1,959200,c,10851
8,0,0.4,2,8,32,0.494126284875182,374.18,1,906400,c,828
6,1,0.03,2,7,15,0.399412628487515,364.64,1,994400,c,8035
7,1,0.06,2,15,67,0.426578560939781,374.18,1,897600,b,8670
7,1,0,1,39,64,0.394273127753299,373.12,1,1126400,e,477
8,1,0.33,3,13,16,0.455947136563869,343.44,1,1064800,d,4935
9,0,0.31,2,24,64,0.552863436123348,349.8,1,862400,b,485
9,0,0.31,2,21,57,0.502936857562407,304.22,2,932800,c,8207
5,0,0,2,21,33,0.184287812041103,392.2,1,1073600,d,9356
9,1,0.39,1,5,24,0.582232011747428,333.9,0,827200,b,4141
7,0,0.11,2,16,24,0.376651982378848,348.74,1,880000,c,5286
10,0,0.47,2,6,10,0.424375917767985,345.56,1,1056000,d,8470
10,0,0.46,2,10,24,0.488252569750367,346.62,1,959200,b,10900
7,1,0.02,2,6,12,0.380323054331858,374.18,1,906400,d,44
6,0,0.4,2,18,43,0.384728340675475,373.12,1,968000,d,10158
8,1,0.29,2,13,81,0.473568281938328,331.78,1,844800,b,5516
7,1,0,3,21,58,0.567547723935388,381.6,1,862400,a,5402
9,0,0.4,2,15,38,0.447870778267258,364.64,1,1047200,c,9656
6,1,0.08,2,14,21,0.389867841409682,356.16,0,836000,b,6483
8,1,0.22,2,5,13,0.457415565345074,375.24,1,959200,b,5785
7,1,0,2,6,9,0.455212922173278,358.28,1,836000,b,9486
7,1,0.03,2,18,31,0.457415565345074,382.66,1,915200,b,11631
7,1,0.15,2,6,18,0.320851688693093,326.48,1,862400,b,3081
10,0,0.45,2,6,10,0.526431718061672,341.32,1,924000,c,418
10,1,0.24,2,9,48,0.419236417033762,332.84,1,968000,a,2580
9,1,0,3,6,18,0.571953010279005,342.38,1,880000,b,12041
10,0,0.52,7,6,19,0.831864904552135,342.38,1,1029600,c,9800
8,0,0.31,2,4,15,0.167400881057259,346.62,1,1126400,d,5512
9,0,0.4,4,10,21,0.473568281938328,361.46,1,1073600,c,6314
7,0,0.21,2,46,102,0.383259911894269,328.6,0,818400,b,3630
7,0,0.1,2,14,28,0.316446402349476,340.26,1,915200,b,7485
7,1,0,2,13,38,0.509544787077828,366.76,0,827200,a,3105
10,1,0.39,15,30,121,0.655653450807642,359.34,1,924000,b,8223
8,1,0.19,2,15,105,0.444933920704839,351.92,1,836000,b,1963
7,1,0.08,4,15,29,0.379588839941259,360.4,1,1038400,d,1260
7,1,0,2,12,56,0.491189427312779,369.94,1,818400,b,5934
8,1,0.3,2,15,105,0.473568281938328,349.8,1,827200,b,9722
7,0,0.21,2,26,48,0.417767988252572,360.4,1,915200,c,12403
7,0,0.26,2,8,35,0.442731277533035,348.74,1,862400,c,7334
7,0,0.42,6,22,128,0.347283406754769,346.62,1,1126400,e,1004
6,1,0,2,3,13,0.403817914831131,380.54,0,959200,b,2998
6,1,0,2,28,52,0.272393538913349,371,0,1012000,b,1117
7,1,0.12,2,13,27,0.455212922173278,374.18,1,836000,c,9938
7,1,0.08,2,22,48,0.475770925110132,350.86,1,844800,b,2168
7,1,0.02,2,15,23,0.369309838472828,354.04,1,906400,c,6297
8,0,0.32,2,26,77,0.494126284875182,361.46,1,827200,b,10334
8,1,0.14,3,12,59,0.747430249632898,371,1,976800,a,3498
7,1,0.18,5,29,79,0.485315712187948,351.92,0,809600,b,9462
7,1,0.17,2,12,40,0.534508076358291,362.52,1,862400,b,10913
9,0,0.38,2,24,90,0.523494860499261,307.4,0,897600,b,820
9,0,0.31,3,24,127,0.611600587371507,347.68,1,827200,b,4910
7,0,0.3,2,36,51,0.379588839941259,342.38,1,1082400,d,3655
7,1,0.16,2,11,75,0.516152716593241,355.1,1,792000,b,9153
9,1,0.25,3,29,65,0.710719530102791,347.68,1,836000,b,1983
7,1,0.03,2,21,87,0.501468428781202,352.98,1,844800,c,9048
8,1,0.24,2,15,63,0.486784140969162,356.16,1,818400,b,11905
8,1,0.08,2,5,13,0.450073421439055,375.24,1,959200,b,2457
7,1,0.21,2,8,50,0.383994126284868,360.4,1,950400,c,3475
6,1,0.31,2,31,89,0.419236417033762,366.76,1,994400,c,5022
12,0,0.44,3,14,43,0.7511013215859,351.92,1,853600,c,2409
12,0,0.58,3,29,101,0.802496328928039,334.96,1,915200,c,1161
10,0,0.56,3,5,13,0.552863436123348,323.3,1,994400,b,3607
8,0,0.32,2,4,10,0.256240822320112,352.98,1,1029600,d,1537
9,1,0.34,1,16,58,0.450073421439055,359.34,1,915200,b,429
9,0,0.35,2,3,13,0.417767988252572,337.08,0,818400,b,10524
7,1,0.13,2,15,36,0.442731277533035,362.52,1,994400,b,12314
9,1,0.26,2,16,64,0.501468428781202,328.6,1,871200,b,54
7,1,0.02,2,26,94,0.475770925110132,354.04,0,862400,b,9832
7,0,0.12,11,28,94,0.570484581497791,341.32,1,915200,c,3321
11,0,0.45,2,20,38,0.582232011747428,344.5,1,950400,b,3575
14,0,0.44,2,7,20,0.685022026431714,315.88,1,862400,c,4177
6,0,0.48,2,40.5,127,0.248898678414092,344.5,1,1029600,c,3472
7,0,0.33,3,9,29,0.375183553597643,358.28,1,1064800,c,4144
5,1,0.04,1,38,47,0.171071953010269,425.06,0,1082400,d,4395
6,0,0.19,2,10,25,0.337738619676945,377.36,1,1100000,b,9698
8,1,0.28,2,15,38,0.523494860499261,334.96,1,800800,b,9702
8,1,0.32,2,7,21,0.435389133627015,343.44,1,968000,b,4202
7,0,0.14,2,21,34,0.432452276064612,345.56,0,844800,c,3447
16,1,0.63,2,6,19,0.633627019089575,309.52,1,880000,b,1390
5,0,0,2,15,28,0.244493392070475,358.28,1,1038400,c,7428
10,0,0.24,3,15,26,0.626284875183555,363.58,1,976800,c,3683
7,1,0.22,2,15,72,0.516152716593241,347.68,1,836000,c,11653
10,0,0.56,3,22,99,0.714390602055801,347.68,1,950400,b,11811
8,1,0.29,3,26,56,0.538179148311301,345.56,1,844800,b,12219
10,0,0.46,2,6,21,0.552863436123348,322.24,1,862400,c,2803
6,1,0,2,9,14,0.359030837004405,356.16,1,950400,c,2951
8,0,0.28,2,20,71,0.522026431718055,340.26,1,792000,b,7809
8,0,0.12,2,6,16,0.450073421439055,327.54,1,836000,b,3048
8,1,0.23,3,4,16,0.342143906020545,341.32,0,836000,b,11336
8,1,0.24,3,17,91,0.552863436123348,345.56,1,836000,b,10663
8,1,0.13,2,38,45,0.378120411160062,359.34,0,924000,b,12169
10,1,0.61,2,5,15,0.530837004405281,337.08,1,1012000,d,3949
8,1,0,2,27,33,0.341409691629955,357.22,1,959200,c,7032
9,1,0.29,3,17,47,0.714390602055801,368.88,1,880000,c,3659
7,1,0.21,2,7,22,0.316446402349476,360.4,1,985600,b,10925
9,1,0.05,3,17,44,0.640969162995595,364.64,1,968000,b,4514
7,1,0.32,2,9,64,0.494126284875182,354.04,0,827200,b,10548
11,0,0.45,2,6,19,0.530837004405281,343.44,1,1003200,b,7398
7,1,0.07,2,11,17,0.442731277533035,361.46,0,924000,b,1467
9,1,0,2,4,14,0.662995594713654,361.46,1,880000,b,6463
10,0,0.42,2,22,51,0.530102790014682,329.66,1,1038400,d,4077
9,0,0.4,2,12,21,0.502936857562407,361.46,1,888800,c,4138
8,1,0,2,12,26,0.558737151248155,356.16,0,880000,b,6357
7,1,0.18,2,15,34,0.470631424375908,367.82,1,941600,c,59
7,0,0.26,2,14,37,0.375183553597643,360.4,1,976800,b,8263
9,0,0.57,2,35,48,0.501468428781202,351.92,1,765600,b,8794
7,1,0,2,4,11,0.582232011747428,358.28,0,792000,a,6570
6,1,0.04,2,6,14,0.399412628487515,378.42,1,1029600,c,10630
8,0,0.36,2,5,13,0.379588839941259,364.64,1,1029600,c,8197
7,1,0.07,6,5,14,0.425110132158592,364.64,1,950400,b,4723
9,1,0,2,24,33,0.655653450807642,358.28,0,888800,b,9789
12,0,0.4,1,6,15,0.640969162995595,325.42,1,915200,d,980
7,1,0.07,2,16,24,0.316446402349476,349.8,1,1003200,c,7383
6,1,0,2,6,9,0.399412628487515,380.54,1,959200,a,459
8,0,0.35,3,10,26,0.523494860499261,350.86,1,959200,d,5694
11,0,0.49,5,16,47,0.523494860499261,331.78,1,1179200,d,1475
8,1,0,2,12,26,0.567547723935388,360.4,0,836000,a,3731
7,1,0.03,2,17,106,0.444933920704839,338.14,1,897600,b,7429
7,1,0.06,6,9,32,0.300293685756239,349.8,1,1003200,b,6278
8,1,0,2,13,31,0.461086637298084,358.28,1,906400,c,4961
12,0,0.49,3,6,14,0.620411160058741,325.42,1,950400,c,1622
13,1,0.65,2,6,18,0.707048458149781,332.84,1,959200,b,11846
5,0,0.02,2,18,88,0.149045521292209,375.24,1,1135200,c,6413
7,0,0.2,2,16,34,0.450073421439055,379.48,1,968000,c,11740
12,0,0.49,2,10,26,0.699706314243761,326.48,1,994400,d,12254
6,1,0.06,2,41,44,0.370778267254042,361.46,1,906400,b,10823
8,1,0.28,2,11,41,0.589574155653448,363.58,1,844800,b,5477
7,1,0.07,2,17,33,0.464757709251094,360.4,1,994400,c,11922
9,0,0.65,8,48,76,0.656387665198241,347.68,1,809600,b,4629
8,1,0.03,4,17,108,0.611600587371507,373.12,1,827200,b,8173
7,1,0.18,2,13,31,0.385462555066082,374.18,1,1038400,c,1219
9,1,0.3,3,18,112,0.596916299559467,349.8,1,827200,b,905
9,0,0.27,2,27,86,0.501468428781202,345.56,0,836000,b,8677
9,0,0.29,3,29,58,0.514684287812036,337.08,1,915200,b,3940
7,0,0.29,2,31,45,0.430983847283398,348.74,0,862400,b,48
11,0,0.48,3,10,26,0.541850220264311,343.44,1,1064800,c,8333
10,1,0.34,5,26,91,0.640969162995595,333.9,1,809600,c,9763
8,1,0.33,2,15,81,0.494126284875182,349.8,1,827200,b,9878
7,1,0,4,17,26,0.240088105726866,355.1,1,1038400,d,1498
7,1,0,3,15,21,0.483113069016152,365.7,1,897600,b,6843
10,1,0.31,3,26,88,0.596916299559467,351.92,1,924000,b,11819
9,0,0.39,2,24,50,0.298825256975025,337.08,1,1038400,c,10162
7,1,0,2,3,12,0.461820851688691,352.98,1,880000,a,4586
7,0,0.49,2,47,102,0.379588839941259,334.96,1,1020800,d,3411
6,1,0.06,2,9,17,0.532305433186495,387.96,1,871200,d,2975
7,1,0.01,2,20,37,0.512481644640231,362.52,1,853600,b,2468
7,0,0.32,2,15,36,0.442731277533035,343.44,1,862400,c,11911
7,0,0.08,2,3,12,0.461820851688691,361.46,0,906400,c,1209
8,1,0.12,2,38,48,0.267254038179141,347.68,0,1012000,c,4380
11,0,0.58,2,3,9,0.331130690161515,345.56,1,1100000,c,1777
7,1,0.02,8,23,43,0.418502202643171,355.1,1,950400,c,685
7,1,0.07,3,16,49,0.552863436123348,372.06,1,941600,d,10492
8,0,0.49,6,21,129,0.530837004405281,343.44,1,818400,b,9976
8,0,0.38,2,10,29,0.574889867841408,363.58,1,853600,b,9881
8,1,0.18,2,24,94,0.545521292217329,354.04,1,836000,c,6249
10,0,0.42,2,5,13,0.466960352422899,341.32,1,1020800,c,5176
6,0,0.27,2,5,12,0.10499265785609,352.98,0,1196800,c,7013
5,1,0,1,15,39,0.244493392070475,397.5,1,1126400,b,2929
8,1,0.49,2,23,110,0.508810572687221,346.62,1,809600,a,11482
9,1,0.21,2,12,42,0.537444933920702,332.84,1,836000,b,12103
7,0,0.29,2,36,67,0.383259911894269,354.04,0,1091200,c,3441
8,1,0.09,4,6,24,0.596916299559467,357.22,0,792000,b,8249
8,1,0.26,4,16,65,0.552863436123348,352.98,1,924000,b,2338
7,1,0.17,2,16,72,0.463289280469889,346.62,1,809600,b,8634
9,1,0.33,2,9,21,0.479441997063142,339.2,1,959200,b,4237
7,1,0,2,4,11,0.334067547723935,358.28,1,968000,b,5295
7,0,0.33,2,13,37,0.435389133627015,355.1,1,836000,b,9568
9,1,0.38,3,8,17,0.571953010279005,346.62,1,862400,c,1513
8,1,0.61,2,27,81,0.450073421439055,326.48,1,818400,b,5130
8,1,0.01,2,7,13,0.367841409691623,358.28,0,880000,c,383
8,1,0,3,7,16,0.403817914831131,356.16,1,880000,c,5331
8,1,0.19,2,17,54,0.472099853157122,348.74,1,959200,c,10762
9,1,0.25,2,5,14,0.417767988252572,355.1,0,844800,c,1087
10,0,0.35,2,13,23,0.433920704845809,337.08,1,853600,c,840
6,1,0.15,2,17,84,0.256975036710718,359.34,1,1047200,b,7945
8,0,0.21,2,57,80,0,345.56,0,1232000,e,531
10,1,0.24,2,13,21,0.419236417033762,337.08,1,915200,c,473
8,1,0.29,3,11,88,0.552863436123348,333.9,1,809600,b,5426
8,0,0.25,3,14,37,0.530837004405281,359.34,1,836000,c,3952
12,0,0.49,3,8,20,0.620411160058741,325.42,1,968000,c,195
11,1,0.37,2,35,151,0.574889867841408,339.2,1,836000,b,8443
8,1,0.12,2,7,28,0.486784140969162,351.92,1,844800,c,8926
11,0,0.64,2,6,22,0.582232011747428,343.44,1,932800,d,6746
8,0,0.32,2,26,58,0.516152716593241,366.76,1,932800,d,10773
8,1,0.02,1,10,26,0.420704845814975,361.46,1,853600,c,7626
8,0,0.32,2,4,10,0.278267254038179,346.62,1,1117600,e,8174
8,1,0.14,3,14,111,0.552863436123348,326.48,1,809600,b,9730
7,0,0.42,6,29,91,0.567547723935388,349.8,1,924000,b,1295
7,1,0.15,2,26,38,0.341409691629955,360.4,1,976800,d,10717
10,0,0.5,14,6,10,0.919970631424372,340.26,1,1012000,b,9151
6,0,0.19,3,28,82,0.391336270190888,356.16,1,950400,c,2854
7,1,0.25,3,16,112,0.501468428781202,359.34,1,818400,c,8686
7,1,0.02,2,26,40,0.386196769456672,356.16,1,888800,c,10167
7,1,0.15,2,17,49,0.535242290748898,334.96,1,792000,c,153
8,1,0.13,3,12,59,0.552863436123348,354.04,1,844800,b,7300
7,1,0.05,4,11,27,0.475770925110132,374.18,1,836000,c,10067
10,1,0.19,3,20,58,0.75844346549192,337.08,1,853600,a,1204
7,1,0.18,5,52,60,0.472099853157122,350.86,1,941600,b,2159
7,0,0.25,9,37.5,289,0.530837004405281,311.64,1,809600,b,1383
8,1,0.18,2,24,94,0.464757709251094,341.32,1,853600,c,4881
6,1,0.23,2,13,72,0.419236417033762,379.48,1,915200,b,2167
8,1,0.28,3,16,72,0.552863436123348,340.26,0,862400,b,1601
7,1,0,2,16,27,0.406020558002936,359.34,1,880000,b,4382
8,1,0.02,2,9,23,0.417033773861965,372.06,0,915200,b,2665
5,0,0.24,2,19,53,0.00954478707781599,377.36,1,1232000,e,9108
9,0,0.57,2,18,61,0.452276064610859,359.34,1,1056000,c,1264
9,1,0.15,3,12,31,0.536710719530095,351.92,1,880000,c,6875
10,0,0.63,4,6,26,0.574889867841408,342.38,1,818400,b,6969
8,1,0.12,2,16,36,0.530837004405281,334.96,1,836000,b,1795
7,0,0.32,2,15,37,0.354625550660789,342.38,1,976800,d,8359
10,0,0.43,2,11,24,0.571953010279005,343.44,1,1003200,d,1986
8,1,0.34,2,24,120,0.494126284875182,336.02,1,862400,b,10835
10,0,0.49,3,4,17,0.523494860499261,341.32,1,1073600,c,3390
7,1,0.08,2,10,16,0.450073421439055,361.46,1,888800,b,11258
6,0,0.22,2,5,14,0.335535976505132,356.16,0,844800,b,7627
8,1,0.08,3,20,48,0.685022026431714,371,1,827200,c,6931
10,0,0.49,2,5,10,0.484581497797358,339.2,1,924000,d,6666
7,0,0.49,4,34,67,0.570484581497791,348.74,1,888800,b,9021
9,1,0.05,2,36,45,0.376651982378848,339.2,1,809600,b,1027
11,0,0.41,9,13,61,0.714390602055801,341.32,1,888800,b,8168
10,0,0.47,2,17,31,0.604258443465487,346.62,1,880000,c,7486
9,0,0.57,2,27,65,0.486784140969162,347.68,1,827200,b,73
9,0,0.49,2,39,51,0.452276064610859,350.86,1,994400,c,12304
7,1,0.18,5,13,115,0.665932452276057,341.32,0,853600,c,1665
7,1,0.13,2,25,48,0.523494860499261,350.86,1,809600,b,7062
8,1,0.12,2,38,43,0.398678414096916,354.04,0,827200,c,2813
12,0,0.5,2,19,38,0.707048458149781,339.2,1,906400,b,6896
11,0,0.73,2,10,26,0.582232011747428,341.32,1,862400,c,11167
7,1,0.21,2,8,22,0.316446402349476,357.22,0,985600,c,1083
8,1,0.31,2,31,73,0.420704845814975,361.46,1,836000,a,6145
8,0,0.12,2,6,25,0.494126284875182,359.34,1,844800,c,5649
11,1,0.3,2,26,53,0.569016152716594,333.9,1,880000,b,8697
9,0,0.44,2,10,26,0.373715124816445,349.8,1,1029600,c,9995
12,0,0.54,2,24,47,0.608663729809104,320.12,1,809600,b,799
11,0,0.5,2,6,16,0.508810572687221,347.68,1,950400,c,10793
9,1,0.41,6,25,81,0.74375917767988,347.68,1,924000,b,4733
11,0,0.6,3,10,41,0.582232011747428,343.44,1,1064800,d,5707
11,0,0.47,2,17,43,0.569750367107184,349.8,1,959200,c,935
8,1,0.1,2,7,37,0.497797356828192,355.1,1,800800,d,8550
12,1,0.49,3,54,67,0.7511013215859,342.38,1,836000,a,763
9,1,0.24,2,8,28,0.599853157121879,361.46,1,888800,b,8137
6,1,0.33,2,9,64,0.501468428781202,362.52,1,818400,a,6649
8,1,0.09,2,34,43,0.444199706314248,348.74,1,968000,c,11645
11,1,0.49,2,18,46,0.707048458149781,322.24,1,836000,a,12381
10,0,0.56,2,5,11,0.345814977973555,322.24,1,1003200,c,9097
8,1,0,6,25,44,0.472099853157122,349.8,1,941600,c,11738
12,0,0.52,2,10,41,0.709985315712184,328.6,1,906400,c,222
9,0,0.36,2,10,27,0.373715124816445,346.62,1,1029600,b,6944
7,1,0.01,2,27,40,0.341409691629955,364.64,1,1012000,d,1066
9,0,0.41,3,11,52,0.626284875183555,337.08,0,888800,c,3227
9,0,0.3,3,14,31,0.338472834067535,333.9,1,1100000,d,9404
9,1,0.21,2,5,15,0.417767988252572,349.8,1,1056000,c,9077
7,1,0,2,11,20,0.439794419970632,356.16,1,880000,b,4417
7,0,0.44,2,17,43,0.501468428781202,361.46,1,906400,c,5894
12,0,0.53,2,17,60,0.582232011747428,321.18,1,792000,c,11455
8,1,0.24,2,15,81,0.444199706314248,330.72,0,818400,b,9946
9,0,0.44,2,7,12,0.526431718061672,348.74,1,836000,c,2583
9,1,0,3,4,14,0.611600587371507,359.34,0,880000,b,4021
6,0,0.14,2,7,25,0.347283406754769,354.04,1,862400,c,5213
7,1,0.01,2,8,13,0.22834067547723,351.92,1,1038400,c,2407
9,0,0.33,2,45,55,0.574889867841408,367.82,1,941600,b,11790
9,1,0.12,2,12,30,0.542584434654917,354.04,1,844800,c,1304
11,0,0.53,3,11,29,0.508810572687221,333.9,1,976800,d,5491
7,1,0.03,2,36,46,0.378120411160062,363.58,1,906400,c,2972
5,0,0.5,2,17,45,0.229809104258435,378.42,1,1196800,d,11165
8,1,0.13,2,7,24,0.558737151248155,350.86,0,844800,c,9951
9,0,0.52,2,6,18,0.574889867841408,333.9,1,739200,b,333
8,1,0.15,2,11,32,0.332599118942729,366.76,1,1003200,b,10124
7,1,0.18,2,13,32,0.420704845814975,362.52,1,941600,b,1799
8,1,0.4,2,22,122,0.494126284875182,342.38,0,800800,b,10470
7,1,0.06,2,5,14,0.320851688693093,349.8,0,915200,b,3320
7,1,0.2,2,14,31,0.470631424375908,365.7,1,968000,b,8330
7,0,0.32,2,9,26,0.421439060205582,354.04,0,809600,b,10437
7,1,0.03,6,5,31,0.508810572687221,368.88,1,968000,a,693
7,1,0,2,16,45,0.523494860499261,355.1,1,844800,c,7746
9,0,0.44,2,11,33,0.446402349486045,364.64,1,1047200,c,9830
8,1,0.23,3,14,62,0.552863436123348,349.8,1,836000,b,4458
10,0,0.5,2,6,13,0.466960352422899,339.2,1,1003200,d,12251
6,1,0.09,2,15,26,0.389867841409682,364.64,1,1029600,b,8506
7,1,0.07,2,16,36,0.406020558002936,348.74,1,880000,c,1003
7,0,0.24,2,18,45,0.420704845814975,355.1,0,836000,a,1253
7,1,0,2,6,12,0.22834067547723,352.98,1,1038400,c,8639
6,1,0.09,2,24,45,0.389867841409682,381.6,1,906400,b,348
6,1,0.02,2,16,42,0.375917767988249,381.6,1,932800,c,6340
9,1,0.19,4,20,53,0.646842878120401,345.56,0,836000,b,6135
9,1,0.18,2,10,103,0.633627019089575,358.28,1,924000,b,12071
9,0,0.42,2,9,20,0.282672540381788,330.72,1,1100000,d,8029
8,1,0.29,2,10,86,0.491923641703377,336.02,1,800800,b,10704
8,0,0.4,2,6,16,0.331130690161515,346.62,1,1100000,d,7273
10,1,0.12,3,37,54,0.714390602055801,334.96,1,880000,c,3831
8,0,0.5,1,17,61,0.523494860499261,321.18,1,800800,b,9225
8,0,0.31,2,8,11,0.369309838472828,341.32,1,1003200,b,9031
9,0,0.36,2,11,28,0.378854625550652,332.84,1,1108800,d,9547
7,1,0.1,2,13,80,0.409691629955946,346.62,1,809600,b,12422
8,1,0.22,2,13,81,0.530837004405281,331.78,1,844800,b,4103
12,0,0.5,3,5,15,0.620411160058741,325.42,1,1073600,d,3647
10,0,0.46,2,6,10,0.400146842878121,332.84,0,932800,d,7832
7,1,0,2,14,38,0.74375917767988,389.02,1,941600,c,3661
8,0,0.42,2,8,17,0.295888399412622,329.66,1,976800,d,4473
10,0,0.35,3,13,31,0.77312775330396,337.08,1,809600,b,11971
6,1,0,2,17,24,0.272393538913349,380.54,1,1100000,b,4354
13,0,0.52,2,12,24,0.831864904552135,323.3,0,818400,b,8248
11,1,0.37,3,12,23,0.685022026431714,341.32,1,897600,b,1148
8,0,0.19,2,28,38,0.376651982378848,369.94,1,915200,b,4851
11,0,0.49,3,11,24,0.574889867841408,337.08,1,1100000,c,5968
9,0,0.39,2,6,12,0.254772393538906,351.92,1,1029600,d,277
7,0,0.12,2,14,26,0.376651982378848,348.74,1,932800,c,8583
7,0,0.3,2,33,58,0.516152716593241,363.58,1,880000,c,2976
6,1,0.02,2,6,12,0.398678414096916,368.88,1,836000,c,7974
7,1,0.05,4,11,32,0.379588839941259,372.06,1,1012000,d,10756
6,1,0.09,2,24,25,0.184287812041103,380.54,1,836000,c,12296
8,1,0.24,2,16,51,0.567547723935388,354.04,1,809600,b,9186
6,1,0.15,2,20,44,0.207782672540376,359.34,1,1100000,d,5611
10,0,0.34,2,14,27,0.368575624082221,332.84,1,985600,d,1870
7,1,0.16,2,11,65,0.428046989720995,358.28,1,888800,b,7434
6,1,0.01,2,48,55,0.361967694566808,371,0,950400,b,4220
8,0,0.42,2,9,26,0.538179148311301,344.5,1,765600,b,1758
6,0,0.08,2,40,48,0.416299559471358,349.8,1,880000,d,7610
11,0,0.47,3,5,15,0.489720998531565,324.36,1,994400,d,6995
9,0,0.41,2,19,52,0.345814977973555,337.08,1,968000,c,2579
7,0,0.08,2,18,38,0.354625550660789,358.28,1,880000,c,12006
12,0,0.56,3,19,65,0.699706314243761,326.48,1,871200,b,10308
8,1,0.61,3,3,10,0.622613803230545,359.34,1,932800,b,12465
8,1,0.08,3,6,29,0.420704845814975,356.16,1,950400,b,11509
7,1,0.06,6,6,14,0.538179148311301,351.92,1,809600,b,9393
8,1,0,2,9,18,0.494126284875182,351.92,0,862400,b,10757
8,1,0.18,2,17,96,0.444933920704839,358.28,1,836000,c,12050
7,1,0.04,3,24,58,0.552863436123348,372.06,1,836000,a,4960
6,1,0.21,4,20,98,0.414831130690161,351.92,1,968000,c,6090
6,1,0,2,11,20,0.479441997063142,371,1,924000,c,537
10,0,0.47,2,9,21,0.589574155653448,343.44,1,924000,c,9284
8,1,0.19,2,36,102,0.301762114537436,350.86,1,1029600,c,8982
6,0,0.13,2,4,11,0.317914831130681,380.54,1,985600,b,5667
11,0,0.41,2,6,19,0.491189427312779,341.32,1,950400,d,5947
9,1,0,3,13,31,0.714390602055801,368.88,1,941600,c,1354
7,0,0.49,6,11,51,0.567547723935388,357.22,1,809600,b,6725
12,0,0.54,3,28,43,0.685022026431714,337.08,1,932800,d,2491
6,1,0.14,4,52,74,0.486049926578555,351.92,0,836000,b,9190
10,1,0.48,2,7,23,0.662995594713654,338.14,1,836000,b,2276
7,0,0.43,2,24,48,0.332599118942729,355.1,1,1091200,c,6720
7,1,0.02,2,21,85,0.541850220264311,374.18,1,827200,c,2879
7,1,0.02,2,31,92,0.410425844346544,354.04,1,973866.666666669,c,7040
6,1,0.01,2,5,14,0.303230543318642,373.12,1,950400,c,11659
7,1,0.35,2,51,145,0.464757709251094,356.16,1,888800,b,771
9,0,0.34,2,12,39,0.571953010279005,344.5,1,924000,b,5248
9,1,0.28,3,24,81,0.655653450807642,347.68,1,814000,b,11799
8,0,0.4,3,11,28,0.523494860499261,350.86,1,1029600,d,4337
7,0,0.37,3,12,29,0.486784140969162,351.92,1,880000,c,10178
7,0,0.3,2,35,72,0.497797356828192,360.4,1,836000,b,7805
6,1,0.1,3,34,73,0.391336270190888,373.12,1,976800,c,10590
6,1,0,2,15,23,0.315712187958885,368.88,1,1012000,c,10497
6,0,0.09,2,9,23,0.523494860499261,366.76,1,862400,b,738
10,1,0.49,2,7,38,0.517621145374455,352.98,1,959200,c,1547
8,1,0.1,2,28,55,0.451541850220268,369.94,1,897600,b,8401
7,1,0.17,2,16,56,0.428046989720995,362.52,1,994400,b,8299
7,1,0,2,16,28,0.556534508076358,358.28,1,836000,c,2219
11,0,0.46,2,14,33,0.73641703377386,336.02,1,836000,b,1034
10,0,0.49,2,6,24,0.567547723935388,323.3,1,1003200,d,8022
8,1,0.1,2,28,55,0.410425844346544,357.22,0,959200,c,8987
8,1,0.25,4,31,69,0.472099853157122,340.26,0,809600,b,2224
9,1,0.34,3,17,53,0.552863436123348,351.92,1,906400,b,7399
10,0,0.64,3,12,29,0.574889867841408,343.44,1,1064800,c,10916
7,1,0,1,22,39,0.567547723935388,372.06,1,853600,c,6066
7,1,0.17,2,7,50,0.417767988252572,346.62,1,871200,c,6427
8,0,0.36,2,35,75,0.513215859030838,352.98,1,792000,b,6887
7,1,0.3,2,15,55,0.567547723935388,361.46,1,880000,b,1681
7,1,0.06,2,15,31,0.389867841409682,362.52,1,836000,c,5188
8,0,0.38,2,29,60,0.582232011747428,349.8,1,941600,c,7130
7,0,0.46,2,7,19,0.257709251101309,348.74,1,1091200,c,1585
12,0,0.52,4,13,23,0.75844346549192,341.32,1,888800,c,3350
8,0,0.42,2,3,6,0.237885462555062,348.74,1,1108800,d,8368
9,1,0.49,3,11,88,0.533773861967692,332.84,1,853600,b,3051
8,1,0,2,3,8,0.486784140969162,356.16,1,836000,c,5674
7,1,0.02,3,37,54,0.482378854625545,359.34,1,906400,b,12496
5,0,0.5,6,29,129,0.290014684287816,400.68,1,1020800,c,1993
7,1,0.14,2,15,20,0.391336270190888,355.1,1,906400,c,551
7,0,0.32,2,15,42,0.552863436123348,372.06,1,792000,b,10333
9,1,0.14,2,10,30,0.589574155653448,354.04,1,818400,c,6322
8,0,0.3,2,6,16,0.358296622613799,351.92,1,1038400,d,12445
